"SAGDP9N Real GDP by state 1/"
"Real GDP by state: All industry total (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"46000","South Dakota",24976.1,26452.1,27500.8,29406.8,29746.2,32958.4,33657.3,35071.4,35907.3,36459.0,38057.4,39643.2,39731.9,40129.8,42793.5,43444.6,43602.2,44099.9,45339.5,45446.2,45431.3
"47000","Tennessee",210843.8,223768.9,230417.5,233152.7,232723.2,240522.4,247823.7,259337.3,264652.2,271464.6,268755.6,272011.3,263015.5,266727.2,274803.6,283721.8,286801.4,291526.7,300774.7,306569.9,315146.7
"48000","Texas",872763.1,928374.4,965676.6,998296.5,1021889.0,1041811.0,1048298.6,1102696.3,1132796.1,1210286.8,1274302.5,1275773.6,1271435.8,1301726.7,1343790.9,1411378.7,1472103.5,1512351.4,1590408.7,1594407.6,1615555.2
"49000","Utah",80682.5,85719.7,89269.9,92507.5,93886.6,95693.3,97648.8,102724.6,109145.6,118720.6,124497.7,123483.3,120791.6,123330.1,127060.0,128721.0,131901.8,135889.8,141397.4,146466.1,150054.9
"50000","Vermont",20026.1,20697.0,21843.4,23022.5,23713.5,24455.4,25301.3,26564.3,26909.4,27132.4,26801.5,27437.2,26996.6,28111.0,28733.3,28887.4,28498.6,28490.6,28769.8,29175.2,29566.6
"51000","Virginia",301623.2,317196.5,332145.9,346160.5,358518.5,362261.5,376113.7,393446.1,415086.9,423737.5,427001.0,425803.5,425583.3,437267.8,441608.8,444950.0,446559.7,445527.2,454155.9,455232.0,463564.3
"53000","Washington",271601.3,289102.0,310331.7,312230.4,305054.8,310338.1,316224.1,322003.4,343362.0,356691.2,378205.1,382380.5,372728.4,381253.4,387832.4,400863.3,411140.6,425333.8,442754.5,459426.3,480909.9
"54000","West Virginia",59236.5,60164.8,62170.2,62051.5,62016.8,62805.3,62839.1,63721.4,65548.9,66435.4,66522.1,67888.3,67564.9,68443.6,69658.0,69399.0,70158.7,69845.5,69566.8,69030.1,70564.7
"55000","Wisconsin",209256.6,217254.0,226298.0,233084.8,236113.0,240995.6,247867.0,256002.6,262160.8,266471.3,267936.1,264632.1,257142.6,264841.1,270372.5,274343.9,276189.5,281232.2,285189.4,288473.2,292270.1
"56000","Wyoming",25239.5,25840.7,26822.4,27708.2,29240.7,29875.5,30612.3,31529.7,33120.8,37526.7,40334.9,42632.5,41385.4,39801.4,39395.5,38431.7,38503.9,38560.5,39591.5,38159.2,38684.5
"91000","New England",644831.6,669174.6,698286.7,749472.8,759203.8,766490.8,784126.8,815682.6,830366.9,850020.1,867516.0,869027.8,850756.7,871810.0,876670.9,889223.3,887832.4,894609.2,918491.9,928734.9,942097.9
"92000","Mideast",2244937.2,2301601.2,2399924.7,2490916.0,2541975.6,2558418.6,2595974.8,2668731.6,2738678.2,2789621.0,2817982.9,2813638.6,2821503.1,2905743.9,2919943.3,2993044.9,3000689.6,3055435.1,3108379.1,3150099.7,3210673.8
"93000","Great Lakes",1889326.2,1954396.6,2027608.3,2086693.6,2064779.7,2104604.0,2146040.3,2192890.4,2228460.2,2246956.9,2262762.4,2216224.1,2106779.5,2176944.0,2224077.7,2252275.7,2279834.7,2329328.0,2353398.7,2376259.6,2408251.8
"94000","Plains",776429.5,800283.2,822123.4,859064.6,858221.0,878108.2,908438.0,939326.6,963957.7,978289.3,998714.9,1011713.2,988569.9,1014807.6,1034202.5,1057845.4,1070846.0,1096374.9,1109884.6,1114528.2,1123569.8
"95000","Southeast",2566664.1,2685346.0,2807531.4,2876077.0,2915720.6,2982396.5,3081035.2,3219340.0,3366853.6,3456208.4,3462412.9,3437294.0,3318424.2,3382596.2,3403212.0,3431042.1,3468311.8,3522368.2,3612020.9,3671826.8,3746678.9
"96000","Southwest",1222189.1,1294582.8,1353111.6,1401168.8,1434240.1,1465543.3,1491584.7,1565927.5,1622516.5,1725857.7,1800881.5,1800516.1,1773521.0,1805416.2,1859278.6,1940752.8,2006364.2,2063008.6,2155351.6,2163898.9,2195856.4
"97000","Rocky Mountain",355741.2,381617.3,405658.2,432329.5,437611.4,442371.2,449350.1,461763.1,485663.0,508303.4,528343.3,533609.3,520933.9,526382.3,534413.7,540442.4,555210.1,573946.3,596525.1,609579.1,623837.7
"98000","Far West",1953431.8,2071557.1,2214602.6,2361297.5,2348011.9,2404165.7,2505868.8,2614450.3,2744663.0,2860412.8,2919047.1,2928345.2,2817960.4,2862336.8,2909704.5,2979149.5,3065071.9,3174531.1,3325141.4,3429608.5,3539962.8
"Legend / Footnotes:"
"1/ Real GDP is in millions of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"Last updated: November 14, 2018; revised statistics for 1997-2017."
